['🔥'],2986
['🤩'],2989
['🙏'],3005
['😜'],3017
['🙄'],3018
['👍'],3019
"['🎊', '🌹', '♥️']",3022
"['😂', '😂', '😂', '😂', '😂']",3025
"['🤡', '🤡']",3035
['😭'],3037
"['🥂', '🥂']",3044
"['😱', '🤣', '🤣', '🤣', '🤣', '🤣']",3045
['❤'],3059
['❤️'],3070
"['👇', '👇', '🇮🇹', '🇮🇹']",3072
['😎'],3085
"['🤦', '😅', '✌️', '🌈', '🦄']",3092
['🤦\u200d♀️'],3093
"['🤡', '☕', '❤️', '🌎', '🌞', '🥳', '🙏', '🥳', '😍']",3104
"['🔴', '🔴']",3108
['⚡'],3113
"['☕', '☀', '🎶', '🎶', '🙂', '👋']",3131
"['👏', '👏', '👏', '👏']",3132
"['🫶🏽', '💌']",3134
"['💪', '💪', '😂', '😂', '😂', '😂', '😂', '😂']",3166
['😀'],3168
"['😅', '😅', '😅']",3174
['❤️'],3178
['😔'],3184
['😵\u200d💫'],3187
"['🙄', '🤷\u200d♀️']",3190
['♥️'],3191
['👇🏻'],3195
['❤️'],3206
"['😈', '🇪🇺']",3216
['😂'],3221
"['🇮🇹', '‼️']",3222
"['😂', '😂', '😂']",3223
['😂'],3228
['😔'],3241
['🤮'],3248
['😉'],3253
['😊'],3255
"['🐺', '🐺']",3257
['☺️'],3259
"['🤞🏻', '🚲']",3260
"['💪', '💪', '💪']",3262
['🌷'],3273
['🤔'],3278
"['😡', '😡', '😡']",3284
"['🤦\u200d♂️', '🤦\u200d♂️', '🤦\u200d♂️', '🤦\u200d♂️']",3294
['😆'],3295
"['😏', '😭']",3303
['💗'],3307
['😜'],3316
"['👏', '👏', '👏', '❤', '❤', '❤']",3327
['♥️'],3329
"['🇮🇹', '🐛']",3330
"['💪', '🐕']",3335
"['😍', '😍', '😍']",3344
"['🤣', '😂']",3345
['🫢'],3347
"['😂', '😂', '😂']",3348
"['😂', '😂', '😂']",3351
"['🤣', '🤣', '🤣']",3353
['❤️'],3356
['🤣'],3357
"['🇺🇦', '🇬🇹']",3358
"['😂', '😂']",3369
['😅'],3386
['🤣'],3389
['🤓'],3391
['😊'],3397
"['🇸🇰', '🇺🇦', '🇺🇦', '🇺🇦']",3411
['😂'],3433
"['🇫🇷', '🔴']",3435
"['👏', '👏', '👏']",3438
"['😂', '😂', '😂']",3446
['🤮'],3456
['🎂'],3463
['😊'],3465
"['😡', '😡', '😡']",3471
['☺️'],3480
['👉🏻'],3492
['🤨'],3500
"['😂', '😂', '😂', '🙏🏻', '🙏🏻']",3514
"['🤦', '🤦', '🤦', '🤦']",3515
"['🔊', '🔊', '🔵', '⚪', '🔴', '⚫', '⚪', '🔵']",3518
['😕'],3524
"['🥌', '👏', '👏', '👏', '👏', '👏']",3528
"['😂', '😂', '😂']",3532
"['😇', '😴', '🤗', '❤️']",3538
"['😂', '😂', '🤣']",3539
['🤔'],3540
"['😍', '😍', '❤']",3544
['😜'],3546
